policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw,20262395,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6170.723438171113,617072.3438171113,964315.0810548526,63.99073870566282,347242.73723774124,0.43,0.69,0.2391747459857786,0.012395271922702988,0.9471132080000189,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262396,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6412.965424116708,641296.5424116708,1280885.551546357,50.06665440463916,639589.0091346863,0.28,0.55,0.23797410111717604,0.01232482093995249,0.9721367920000148,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262397,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,3746.7436844347144,374674.36844347144,747059.1067765494,50.15324290204244,372384.7383330779,0.34,0.58,0.24106937727547256,0.0125098832660125,0.9996347920000517,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262398,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6704.749146359254,670474.9146359254,1146668.5743527897,58.47155225426487,476193.65971686423,0.41,0.57,0.24160795107027883,0.012491411331950163,1.02708025000004,tm_tw_gated_offline,context_noise_refinement
tm_tw,20263345,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,3379.6647511209662,337966.47511209664,1001954.2064661268,33.73073069917017,663987.7313540301,0.23,0.48,0.2380702568509969,0.012356272113139,2.7661777079999865,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263346,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,7054.807984454928,705480.7984454928,1069179.711288086,65.98336939966529,363698.9128425934,0.41,0.64,0.240879520824293,0.0124959923558281,2.5508953750000103,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263347,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,5850.5766146987,585057.66146987,979861.5573690024,59.70819623139325,394803.8958991325,0.41,0.63,0.2419008402782142,0.0124827844597461,2.7050828330000343,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263348,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,4983.484891736737,498348.48917367373,873759.5958055168,57.034966089756935,375411.1066318431,0.43,0.64,0.23711675518727962,0.012306444608152667,2.584768542000006,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263349,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,3837.7950324934604,383779.50324934605,895094.3455360848,42.87587170707631,511314.8422867388,0.31,0.5,0.2387253502572929,0.012399683425043346,2.5418594159999657,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263350,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,4880.86951316951,488086.951316951,954717.6123133738,51.123698256102,466630.6609964228,0.37,0.59,0.24250164331198057,0.012540277886359759,2.4641560830000344,tm_tw_gated_offline_low_rank,context_noise_refinement
